DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,BIDEX,ASKEX,QU_SEQNUM,NATBBO_IND,NASDBBO_IND,QU_CANCEL,QU_SOURCE
20140304,12:54:42.600,N,HZO,,15.57,1,15.66,1,R,N,N,12603367,6,2,,C
20140304,12:54:42.603,N,HZO,,15.57,1,15.65,1,R,N,N,12603372,0,2,,C
20140304,12:54:42.619,Y,HZO,,15.39,1,15.87,1,R,Y,Y,12603374,0,2,A,C
20140304,12:54:42.619,N,HZO,,15.57,1,15.65,1,R,N,N,12603375,0,2,A,C
20140304,12:54:43.828,N,HZO,,15.61,1,15.65,1,R,N,N,12605287,0,2,A,C
20140304,12:54:46.207,P,HZO,,15.36,1,15.76,1,R,P,P,12606857,0,2,,C
20140304,12:54:52.804,Z,HZO,,15.56,2,15.72,1,R,Z,Z,12611820,0,2,,C
20140304,12:55:00.178,Y,HZO,,15.39,1,15.87,1,R,Y,Y,12619823,0,2,,C
20140304,12:55:00.227,T,HZO,,15.62,1,15.65,1,R,T,T,12619866,6,2,,C
20140304,12:55:00.231,P,HZO,,15.36,1,15.65,2,R,P,P,12619869,6,2,,C
20140304,12:55:00.232,P,HZO,,15.62,1,15.65,2,R,P,P,12619870,0,2,,C
20140304,12:55:00.233,P,HZO,,15.36,1,15.65,2,R,P,P,12619871,0,2,,C
20140304,12:55:00.322,T,HZO,,15.61,1,15.65,1,R,T,T,12619975,6,2,,C
20140304,12:55:00.330,P,HZO,,15.61,1,15.65,2,R,P,P,12619977,0,2,,C
20140304,12:55:00.623,N,HZO,,15.61,1,15.65,1,R,N,N,12620146,6,2,,C
20140304,12:55:00.624,N,HZO,,15.61,1,15.68,1,R,N,N,12620149,0,2,,C
20140304,12:55:00.624,N,HZO,,15.62,1,15.68,1,R,N,N,12620150,6,2,,C
20140304,12:55:00.624,N,HZO,,15.62,2,15.68,1,R,N,N,12620151,6,2,,C
20140304,12:55:00.625,N,HZO,,15.62,1,15.68,1,R,N,N,12620153,6,2,,C
20140304,12:55:00.629,P,HZO,,15.62,1,15.65,2,R,P,P,12620155,0,2,,C
20140304,12:55:03.713,T,HZO,,15.62,1,15.65,1,R,T,T,12622292,0,2,,C
20140304,12:55:07.446,N,HZO,,15.62,1,15.65,1,R,N,N,12625230,6,2,,C
20140304,12:55:07.838,Z,HZO,,15.57,1,15.72,1,R,Z,Z,12625390,0,2,,C
20140304,12:56:20.688,K,HZO,,14.46,1,16,3,R,K,K,12666198,0,2,,C
20140304,12:57:24.388,T,HZO,,15.62,1,15.69,1,R,T,T,12693093,0,2,,C
20140304,12:57:24.389,T,HZO,,15.62,1,15.67,1,R,T,T,12693094,0,2,,C
20140304,12:57:24.389,N,HZO,,15.56,1,15.65,1,R,N,N,12693095,0,2,,C
20140304,12:57:24.389,T,HZO,,15.62,1,15.64,1,R,T,T,12693096,6,2,,C
20140304,12:57:24.391,N,HZO,,15.57,1,15.65,1,R,N,N,12693097,0,2,,C
20140304,12:57:24.392,T,HZO,,15.61,1,15.64,1,R,T,T,12693098,0,2,,C
20140304,12:57:24.537,T,HZO,,15.61,1,15.67,1,R,T,T,12693119,6,2,,C
20140304,12:57:24.664,P,HZO,,15.52,1,15.65,2,R,P,P,12693163,6,2,,C
20140304,12:57:24.669,N,HZO,,15.61,1,15.65,1,R,N,N,12693164,0,2,,C
20140304,12:57:24.785,P,HZO,,15.52,1,15.76,1,R,P,P,12693271,6,2,,C
20140304,12:57:24.785,N,HZO,,15.61,1,15.68,1,R,N,N,12693273,6,2,,C
20140304,12:57:24.786,Y,HZO,,15.39,1,15.87,1,R,Y,Y,12693274,0,2,A,C
20140304,12:57:24.786,N,HZO,,15.61,1,15.68,1,R,N,N,12693275,0,2,A,C
20140304,12:57:24.789,N,HZO,,15.61,1,15.67,1,R,N,N,12693276,0,2,A,C
20140304,12:57:24.791,P,HZO,,15.52,1,15.67,1,R,P,P,12693278,0,2,,C
20140304,12:57:24.793,N,HZO,,15.61,1,15.66,1,R,N,N,12693279,6,2,,C
20140304,12:57:24.794,P,HZO,,15.52,1,15.76,1,R,P,P,12693280,0,2,,C
20140304,12:57:24.800,P,HZO,,15.52,1,15.66,1,R,P,P,12693282,0,2,,C
20140304,12:57:24.839,N,HZO,,15.61,1,15.66,1,R,N,N,12693308,6,2,A,C
20140304,12:57:24.941,Y,HZO,,15.39,1,15.87,1,R,Y,Y,12693342,0,2,A,C
20140304,12:57:24.941,N,HZO,,15.61,1,15.66,1,R,N,N,12693343,0,2,A,C
20140304,12:57:28.208,P,HZO,,15.36,1,15.66,1,R,P,P,12695474,6,2,,C
20140304,12:57:39.475,C,HZO,,15.61,1,15.86,1,R,C,C,12700915,0,2,,C
20140304,12:58:13.654,Y,HZO,,15.61,1,15.87,1,R,Y,Y,12725570,0,2,A,C
20140304,12:59:25.401,N,HZO,,15.61,1,15.68,1,R,N,N,12765039,6,2,A,C
20140304,12:59:25.928,P,HZO,,15.36,1,16.06,2,R,P,P,12765472,6,2,,C
20140304,12:59:25.933,N,HZO,,15.61,1,15.67,1,R,N,N,12765475,0,2,A,C
20140304,12:59:25.935,P,HZO,,15.36,1,15.67,1,R,P,P,12765476,0,2,,C
20140304,12:59:26.253,T,HZO,,15.61,1,15.66,1,R,T,T,12766151,6,2,,C
20140304,12:59:26.254,P,HZO,,15.36,1,16.06,2,R,P,P,12766152,0,2,,C
20140304,12:59:26.257,N,HZO,,15.61,1,15.66,1,R,N,N,12766153,0,2,A,C
20140304,12:59:27.249,T,HZO,,15.61,1,15.67,1,R,T,T,12767404,6,2,,C
20140304,12:59:31.929,N,HZO,,15.61,1,15.68,1,R,N,N,12770458,6,2,A,C
20140304,12:59:31.933,N,HZO,,15.61,1,15.67,1,R,N,N,12770459,0,2,A,C
