DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,BID,BIDSIZ,ASK,ASKSIZ,QU_COND,BIDEX,ASKEX,QU_SEQNUM,NATBBO_IND,NASDBBO_IND,QU_CANCEL,QU_SOURCE
20140304,10:59:34.285,P,ACW,,4.88,1,5.02,1,R,P,P,7550212,0,0,A,C
20140304,10:59:34.291,W,ACW,,4.66,3,5.03,1,R,W,W,7550213,0,0,A,C
20140304,10:59:34.296,W,ACW,,4.8,1,5.03,1,R,W,W,7550219,0,0,A,C
20140304,10:59:34.299,N,ACW,,4.88,4,4.89,1,R,N,N,7550222,1,0,A,C
20140304,10:59:34.299,N,ACW,,4.88,4,4.9,7,R,N,N,7550223,1,0,A,C
20140304,10:59:34.300,N,ACW,,4.88,5,4.9,7,R,N,N,7550224,1,0,A,C
20140304,10:59:34.301,N,ACW,,4.88,5,4.9,6,R,N,N,7550225,1,0,A,C
20140304,10:59:34.301,J,ACW,,4.8,7,5.25,1,R,J,J,7550226,0,0,A,C
20140304,10:59:34.312,Y,ACW,,4.78,2,5.03,1,R,Y,Y,7550238,0,0,A,C
20140304,10:59:34.313,Y,ACW,,4.78,2,5,1,R,Y,Y,7550239,0,0,A,C
20140304,10:59:34.380,Y,ACW,,4.78,3,5,1,R,Y,Y,7550285,0,0,A,C
20140304,10:59:34.380,Y,ACW,,4.78,3,5,2,R,Y,Y,7550286,0,0,A,C
20140304,10:59:34.431,T,ACW,,4.86,2,4.92,1,R,T,T,7550317,0,0,A,C
20140304,10:59:34.431,Z,ACW,,4.86,1,4.92,1,R,Z,Z,7550318,0,0,A,C
20140304,10:59:36.983,K,ACW,,4.86,2,4.98,5,R,K,K,7556248,0,0,A,C
20140304,10:59:36.983,K,ACW,,4.88,2,4.98,5,R,K,K,7556250,0,0,A,C
20140304,10:59:36.988,N,ACW,,4.88,5,4.9,5,R,N,N,7556271,1,0,A,C
20140304,10:59:37.554,N,ACW,,4.89,1,4.9,5,R,N,N,7558009,1,0,A,C
20140304,10:59:37.555,X,ACW,,0,0,0,0,R,X,X,7558018,0,0,A,C
20140304,10:59:37.559,P,ACW,,4.89,1,5.02,1,R,P,P,7558028,0,0,A,C
20140304,10:59:37.560,Y,ACW,,4.78,2,5,2,R,Y,Y,7558029,0,0,A,C
20140304,10:59:37.560,Y,ACW,,4.81,1,5,2,R,Y,Y,7558030,0,0,A,C
20140304,10:59:37.734,N,ACW,,4.89,1,4.9,4,R,N,N,7558176,6,0,A,C
20140304,10:59:37.785,Y,ACW,,4.81,1,5,2,R,Y,Y,7558218,0,0,A,C
20140304,10:59:39.800,T,ACW,,4.86,1,4.92,1,R,T,T,7561000,0,0,A,C
20140304,10:59:39.991,K,ACW,,4.88,2,4.9,1,R,K,K,7561268,0,0,A,C
20140304,10:59:39.992,P,ACW,,4.89,1,5,1,R,P,P,7561269,6,0,A,C
20140304,10:59:39.992,Y,ACW,,4.81,1,4.98,1,R,Y,Y,7561270,0,0,A,C
20140304,10:59:39.993,C,ACW,,4.86,1,0,0,R,C,C,7561271,0,0,A,C
20140304,10:59:39.996,W,ACW,,4.8,1,5.1,3,R,W,W,7561273,0,0,A,C
20140304,10:59:39.997,C,ACW,,4.86,1,4.99,1,R,C,C,7561274,0,0,A,C
20140304,10:59:39.999,W,ACW,,4.8,1,4.98,1,R,W,W,7561276,0,0,A,C
20140304,10:59:40.170,J,ACW,,4.89,1,5.25,1,R,J,J,7561375,0,0,A,C
20140304,10:59:40.171,X,ACW,,0,0,4.9,1,R,X,X,7561378,0,0,A,C
20140304,10:59:40.771,N,ACW,,4.89,2,4.9,4,R,N,N,7561999,1,0,A,C
20140304,10:59:45.359,T,ACW,,4.87,1,4.92,1,R,T,T,7566798,0,0,A,C
20140304,10:59:46.670,N,ACW,,4.89,2,4.9,3,R,N,N,7569148,1,0,A,C
20140304,10:59:46.671,X,ACW,,0,0,0,0,R,X,X,7569149,0,0,A,C
20140304,10:59:48.387,P,ACW,,4.88,1,4.89,33,R,P,P,7570372,6,0,A,C
20140304,10:59:48.387,J,ACW,,4.8,7,5.25,1,R,J,J,7570373,0,0,A,C
20140304,10:59:48.388,N,ACW,,4.88,5,4.9,3,R,N,N,7570376,6,0,A,C
20140304,10:59:48.388,P,ACW,,4.88,1,4.89,34,R,P,P,7570377,6,0,A,C
